This file was created using the 201712 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
200911    ,3.63   ,-2.40   ,-1.50    ,0.00
200912    ,1.93    ,0.66    ,0.75    ,0.01
201001   ,-3.74    ,2.61   ,-0.04    ,0.00
201002    ,1.29    ,0.00    ,0.13    ,0.00
201003    ,6.25   ,-0.22    ,3.10    ,0.01
201004    ,0.50    ,3.78    ,0.81    ,0.01
201005   ,-9.54    ,0.13   ,-2.40    ,0.01
201006   ,-3.15    ,0.30   ,-2.70    ,0.01
201007    ,8.21   ,-1.62    ,1.48    ,0.01
201008   ,-3.91   ,-0.21   ,-1.83    ,0.01
201009    ,9.85    ,1.48   ,-1.50    ,0.01
201010    ,3.95   ,-0.04   ,-1.21    ,0.01
201011   ,-2.17    ,2.07   ,-0.65    ,0.01
201012    ,7.62    ,2.01    ,1.83    ,0.01
201101    ,2.12   ,-1.61    ,2.71    ,0.01
201102    ,3.49    ,0.20    ,0.46    ,0.01
201103   ,-0.68    ,1.33   ,-1.61    ,0.01
201104    ,4.46   ,-0.68   ,-1.91    ,0.00
201105   ,-2.11   ,-0.51   ,-1.40    ,0.00
201106   ,-1.52   ,-0.44    ,0.60    ,0.00
201107   ,-1.69    ,1.25   ,-2.08    ,0.00
201108   ,-7.51   ,-0.64   ,-1.79    ,0.01
201109   ,-9.20   ,-1.33    ,0.82    ,0.00
201110   ,10.01   ,-2.06   ,-1.90    ,0.00
201111   ,-2.64   ,-1.06   ,-0.74    ,0.00
201112   ,-0.44   ,-0.50    ,1.89    ,0.00
201201    ,5.61    ,2.18   ,-1.07    ,0.00
201202    ,4.93   ,-0.82   ,-0.18    ,0.00
201203    ,1.24   ,-0.37   ,-0.01    ,0.00
201204   ,-1.11    ,0.20   ,-1.74    ,0.00
201205   ,-8.88   ,-0.53    ,0.11    ,0.01
201206    ,4.85   ,-1.52    ,1.49    ,0.00
201207    ,0.85   ,-1.63   ,-1.04    ,0.00
201208    ,2.78   ,-0.28    ,0.80    ,0.01
201209    ,3.08    ,1.11    ,1.28    ,0.01
201210   ,-0.43   ,-0.74    ,2.24    ,0.01
201211    ,1.32   ,-1.16    ,0.19    ,0.01
201212    ,2.30    ,1.23    ,3.52    ,0.01
201301    ,5.46    ,0.14    ,2.01    ,0.00
201302    ,0.10    ,0.33   ,-0.78    ,0.00
201303    ,2.29    ,0.83   ,-2.03    ,0.00
201304    ,3.02   ,-1.21    ,0.96    ,0.00
201305    ,0.56   ,-0.67    ,1.07    ,0.00
201306   ,-2.52    ,0.27   ,-0.15    ,0.00
201307    ,5.58    ,0.08    ,0.38    ,0.00
201308   ,-1.83    ,1.28   ,-0.60    ,0.00
201309    ,5.51    ,2.16   ,-0.54    ,0.00
201310    ,3.71   ,-1.70    ,1.97    ,0.00
201311    ,1.82   ,-0.17   ,-0.25    ,0.00
201312    ,2.18   ,-0.19   ,-0.20    ,0.00
201401   ,-3.29    ,2.81   ,-0.10    ,0.00
201402    ,5.04   ,-0.92    ,0.17    ,0.00
201403    ,0.16   ,-0.48    ,2.75    ,0.00
201404    ,0.56   ,-2.74    ,1.13    ,0.00
201405    ,1.75   ,-1.07   ,-0.40    ,0.00
201406    ,2.00    ,2.17   ,-0.22    ,0.00
201407   ,-2.05   ,-1.13    ,0.13    ,0.00
201408    ,1.93   ,-0.52   ,-0.91    ,0.00
201409   ,-3.09   ,-2.71   ,-0.81    ,0.00
201410    ,0.34   ,-0.32   ,-3.11    ,0.00
201411    ,1.65   ,-2.22   ,-2.26    ,0.00
201412   ,-1.44    ,1.70    ,0.17    ,0.00
201501   ,-1.75   ,-0.08   ,-2.56    ,0.00
201502    ,5.91   ,-0.33   ,-0.47    ,0.00
201503   ,-1.17    ,1.44   ,-0.73    ,0.00
201504    ,2.70    ,0.82    ,2.12    ,0.00
201505    ,0.49    ,1.17   ,-1.31    ,0.00
201506   ,-2.09    ,2.12   ,-0.62    ,0.00
